team_name,team,mascot,league,resource,resource_path
Nebraska Kearny Antelopes,Nebraska Kearny,Antelopes,ncaaf,team://ncaa_football/nebraska_kearny_antelopes,/ncaa_football/nebraska_kearny_antelopes
Nebraska Omaha Mavericks,Nebraska Omaha,Mavericks,ncaaf,team://ncaa_football/nebraska_omaha_mavericks,/ncaa_football/nebraska_omaha_mavericks
Neb Wesleyan Prairie Wolves,Neb Wesleyan,Prairie Wolves,ncaaf,team://ncaa_football/neb_wesleyan_prairie_wolves,/ncaa_football/neb_wesleyan_prairie_wolves
NE Oklahoma St Riverhawks,NE Oklahoma St,Riverhawks,ncaaf,team://ncaa_football/ne_oklahoma_st_riverhawks,/ncaa_football/ne_oklahoma_st_riverhawks
Nevada Wolf Pack,Nevada,Wolf Pack,ncaaf,team://ncaa_football/nevada_wolf_pack,/ncaa_football/nevada_wolf_pack
Newberry Indians,Newberry,Indians,ncaaf,team://ncaa_football/newberry_indians,/ncaa_football/newberry_indians
New Hampshire Wildcats,New Hampshire,Wildcats,ncaaf,team://ncaa_football/new_hampshire_wildcats,/ncaa_football/new_hampshire_wildcats
New Jersey,New Jersey,,ncaaf,team://ncaa_football/new_jersey,/ncaa_football/new_jersey
New Mexico Highlands Cowboys,New Mexico Highlands,Cowboys,ncaaf,team://ncaa_football/new_mexico_highlands_cowboys,/ncaa_football/new_mexico_highlands_cowboys
New Mexico Lobos,New Mexico,Lobos,ncaaf,team://ncaa_football/new_mexico_lobos,/ncaa_football/new_mexico_lobos
New Mexico St Aggies,New Mexico St,Aggies,ncaaf,team://ncaa_football/new_mexico_st_aggies,/ncaa_football/new_mexico_st_aggies
Nicholls St Colonels,Nicholls St,Colonels,ncaaf,team://ncaa_football/nicholls_st_colonels,/ncaa_football/nicholls_st_colonels
Nichols College Bison,Nichols College,Bison,ncaaf,team://ncaa_football/nichols_college_bison,/ncaa_football/nichols_college_bison
Norfolk St Spartans,Norfolk St,Spartans,ncaaf,team://ncaa_football/norfolk_st_spartans,/ncaa_football/norfolk_st_spartans
North,North,,ncaaf,team://ncaa_football/north,/ncaa_football/north
North Alabama Lions,North Alabama,Lions,ncaaf,team://ncaa_football/north_alabama_lions,/ncaa_football/north_alabama_lions
North Carolina Tar Heels,North Carolina,Tar Heels,ncaaf,team://ncaa_football/north_carolina_tar_heels,/ncaa_football/north_carolina_tar_heels
North Central Col Cardinals,North Central Col,Cardinals,ncaaf,team://ncaa_football/north_central_col_cardinals,/ncaa_football/north_central_col_cardinals
North Dakota Sioux,North Dakota,Sioux,ncaaf,team://ncaa_football/north_dakota_sioux,/ncaa_football/north_dakota_sioux
North Dakota St Bison,North Dakota St,Bison,ncaaf,team://ncaa_football/north_dakota_st_bison,/ncaa_football/north_dakota_st_bison
Northeastern Huskies,Northeastern,Huskies,ncaaf,team://ncaa_football/northeastern_huskies,/ncaa_football/northeastern_huskies
Northern Arizona Lumberjacks,Northern Arizona,Lumberjacks,ncaaf,team://ncaa_football/northern_arizona_lumberjacks,/ncaa_football/northern_arizona_lumberjacks
Northern Colorado Bears,Northern Colorado,Bears,ncaaf,team://ncaa_football/northern_colorado_bears,/ncaa_football/northern_colorado_bears
Northern Illinois Huskies,Northern Illinois,Huskies,ncaaf,team://ncaa_football/northern_illinois_huskies,/ncaa_football/northern_illinois_huskies
Northern Iowa Panthers,Northern Iowa,Panthers,ncaaf,team://ncaa_football/northern_iowa_panthers,/ncaa_football/northern_iowa_panthers
Northern Michigan Wildcats,Northern Michigan,Wildcats,ncaaf,team://ncaa_football/northern_michigan_wildcats,/ncaa_football/northern_michigan_wildcats
Northern St Wolves,Northern St,Wolves,ncaaf,team://ncaa_football/northern_st_wolves,/ncaa_football/northern_st_wolves
North Greenvlle,North Greenvlle,,ncaaf,team://ncaa_football/north_greenvlle,/ncaa_football/north_greenvlle
North Park Vikings,North Park,Vikings,ncaaf,team://ncaa_football/north_park_vikings,/ncaa_football/north_park_vikings
North Texas Eagles,North Texas,Eagles,ncaaf,team://ncaa_football/north_texas_eagles,/ncaa_football/north_texas_eagles
Northwestern College Iowa Red Raiders,Northwestern College Iowa,Red Raiders,ncaaf,team://ncaa_football/northwestern_college_iowa_red_raiders,/ncaa_football/northwestern_college_iowa_red_raiders
Northwestern St Demons,Northwestern St,Demons,ncaaf,team://ncaa_football/northwestern_st_demons,/ncaa_football/northwestern_st_demons
Northwestern Wildcats,Northwestern,Wildcats,ncaaf,team://ncaa_football/northwestern_wildcats,/ncaa_football/northwestern_wildcats
Northwood,Northwood,,ncaaf,team://ncaa_football/northwood,/ncaa_football/northwood
Norwich Cadets,Norwich,Cadets,ncaaf,team://ncaa_football/norwich_cadets,/ncaa_football/norwich_cadets
Notre Dame Fighting Irish,Notre Dame,Fighting Irish,ncaaf,team://ncaa_football/notre_dame_fighting_irish,/ncaa_football/notre_dame_fighting_irish
NW Minnesota Eagles,NW Minnesota,Eagles,ncaaf,team://ncaa_football/nw_minnesota_eagles,/ncaa_football/nw_minnesota_eagles
NW Missouri St Bearcats,NW Missouri St,Bearcats,ncaaf,team://ncaa_football/nw_missouri_st_bearcats,/ncaa_football/nw_missouri_st_bearcats
NW Oklahoma St Rangers,NW Oklahoma St,Rangers,ncaaf,team://ncaa_football/nw_oklahoma_st_rangers,/ncaa_football/nw_oklahoma_st_rangers
Oberlin Yeomen,Oberlin,Yeomen,ncaaf,team://ncaa_football/oberlin_yeomen,/ncaa_football/oberlin_yeomen
Occidental Tigers,Occidental,Tigers,ncaaf,team://ncaa_football/occidental_tigers,/ncaa_football/occidental_tigers
Ohio Bobcats,Ohio,Bobcats,ncaaf,team://ncaa_football/ohio_bobcats,/ncaa_football/ohio_bobcats
Ohio Dominican Panthers,Ohio Dominican,Panthers,ncaaf,team://ncaa_football/ohio_dominican_panthers,/ncaa_football/ohio_dominican_panthers
Ohio Northern Polar Bears,Ohio Northern,Polar Bears,ncaaf,team://ncaa_football/ohio_northern_polar_bears,/ncaa_football/ohio_northern_polar_bears
Ohio St Buckeyes,Ohio St,Buckeyes,ncaaf,team://ncaa_football/ohio_st_buckeyes,/ncaa_football/ohio_st_buckeyes
Ohio Wesleyan Battling Bishops,Ohio Wesleyan,Battling Bishops,ncaaf,team://ncaa_football/ohio_wesleyan_battling_bishops,/ncaa_football/ohio_wesleyan_battling_bishops
Oklahoma Sooners,Oklahoma,Sooners,ncaaf,team://ncaa_football/oklahoma_sooners,/ncaa_football/oklahoma_sooners
Oklahoma St Cowboys,Oklahoma St,Cowboys,ncaaf,team://ncaa_football/oklahoma_st_cowboys,/ncaa_football/oklahoma_st_cowboys
Ole Miss Rebels,Ole Miss,Rebels,ncaaf,team://ncaa_football/ole_miss_rebels,/ncaa_football/ole_miss_rebels
Olivet Comets,Olivet,Comets,ncaaf,team://ncaa_football/olivet_comets,/ncaa_football/olivet_comets
Olivet Nazarene Tigers,Olivet Nazarene,Tigers,ncaaf,team://ncaa_football/olivet_nazarene_tigers,/ncaa_football/olivet_nazarene_tigers
Oregon Ducks,Oregon,Ducks,ncaaf,team://ncaa_football/oregon_ducks,/ncaa_football/oregon_ducks
Oregon St Beavers,Oregon St,Beavers,ncaaf,team://ncaa_football/oregon_st_beavers,/ncaa_football/oregon_st_beavers
Ottawa Kansas Braves,Ottawa Kansas,Braves,ncaaf,team://ncaa_football/ottawa_kansas_braves,/ncaa_football/ottawa_kansas_braves
Otterbein Cardinals,Otterbein,Cardinals,ncaaf,team://ncaa_football/otterbein_cardinals,/ncaa_football/otterbein_cardinals
Ouachita Baptist Tigers,Ouachita Baptist,Tigers,ncaaf,team://ncaa_football/ouachita_baptst_tigers,/ncaa_football/ouachita_baptst_tigers
Pace Setters,Pace,Setters,ncaaf,team://ncaa_football/pace_setters,/ncaa_football/pace_setters
Pacific Lutheran Lutes,Pacific Lutheran,Lutes,ncaaf,team://ncaa_football/pacific_lutheran_lutes,/ncaa_football/pacific_lutheran_lutes
Panhandle St Aggies,Panhandle St,Aggies,ncaaf,team://ncaa_football/panhandle_st_aggies,/ncaa_football/panhandle_st_aggies
Paul Quinn Tigers,Paul Quinn,Tigers,ncaaf,team://ncaa_football/paul_quinn_tigers,/ncaa_football/paul_quinn_tigers
Penn Quakers,Penn,Quakers,ncaaf,team://ncaa_football/penn_quakers,/ncaa_football/penn_quakers
Penn St Nittany Lions,Penn St,Nittany Lions,ncaaf,team://ncaa_football/penn_st_nittany_lions,/ncaa_football/penn_st_nittany_lions
Peru St Bobcats,Peru St,Bobcats,ncaaf,team://ncaa_football/peru_st_bobcats,/ncaa_football/peru_st_bobcats
Pikeville Bears,Pikeville,Bears,ncaaf,team://ncaa_football/pikeville_bears,/ncaa_football/pikeville_bears
Pittsburgh Panthers,Pittsburgh,Panthers,ncaaf,team://ncaa_football/pittsburgh_panthers,/ncaa_football/pittsburgh_panthers
Pittsburg St Gorillas,Pittsburg St,Gorillas,ncaaf,team://ncaa_football/pittsburg_st_gorillas,/ncaa_football/pittsburg_st_gorillas
Plymouth St Panthers,Plymouth St,Panthers,ncaaf,team://ncaa_football/plymouth_st_panthers,/ncaa_football/plymouth_st_panthers
Pomona Pitzer Sagehens,Pomona Pitzer,Sagehens,ncaaf,team://ncaa_football/pomona_pitzer_sagehens,/ncaa_football/pomona_pitzer_sagehens
Portland St Vikings,Portland St,Vikings,ncaaf,team://ncaa_football/portland_st_vikings,/ncaa_football/portland_st_vikings
Prairie View Panthers,Prairie View,Panthers,ncaaf,team://ncaa_football/prairie_view_panthers,/ncaa_football/prairie_view_panthers
Presbyterian Blue Hose,Presbyterian,Blue Hose,ncaaf,team://ncaa_football/presbyterian_blue_hose,/ncaa_football/presbyterian_blue_hose
Princeton Tigers,Princeton,Tigers,ncaaf,team://ncaa_football/princeton_tigers,/ncaa_football/princeton_tigers
Principia,Principia,,ncaaf,team://ncaa_football/principia,/ncaa_football/principia
Puget Sound Anchormen,Puget Sound,Anchormen,ncaaf,team://ncaa_football/puget_sound_anchormen,/ncaa_football/puget_sound_anchormen
Purdue Boilermakers,Purdue,Boilermakers,ncaaf,team://ncaa_football/purdue_boilermakers,/ncaa_football/purdue_boilermakers
Quincy Hawks,Quincy,Hawks,ncaaf,team://ncaa_football/quincy_hawks,/ncaa_football/quincy_hawks
Randolph Macon Wildcats,Randolph Macon,Wildcats,ncaaf,team://ncaa_football/randolph_macon_wildcats,/ncaa_football/randolph_macon_wildcats
Randolph Macon Yellow Jackets,Randolph Macon,Yellow Jackets,ncaaf,team://ncaa_football/randolph_macon_yellow_jackets,/ncaa_football/randolph_macon_yellow_jackets
Redlands,Redlands,,ncaaf,team://ncaa_football/redlands,/ncaa_football/redlands
Redlands Bulldogs,Redlands,Bulldogs,ncaaf,team://ncaa_football/redlands_bulldogs,/ncaa_football/redlands_bulldogs
Rhode Island,Rhode Island,,ncaaf,team://ncaa_football/rhode_island,/ncaa_football/rhode_island
Rhode Island Rams,Rhode Island,Rams,ncaaf,team://ncaa_football/rhode_island_rams,/ncaa_football/rhode_island_rams
Rhodes Lynx,Rhodes,Lynx,ncaaf,team://ncaa_football/rhodes_lynx,/ncaa_football/rhodes_lynx
Rice Owls,Rice,Owls,ncaaf,team://ncaa_football/rice_owls,/ncaa_football/rice_owls
Richmond Spiders,Richmond,Spiders,ncaaf,team://ncaa_football/richmond_spiders,/ncaa_football/richmond_spiders
Ripon College,Ripon College,,ncaaf,team://ncaa_football/ripon_college,/ncaa_football/ripon_college
Robert Morris Colonials,Robert Morris ,Colonials,ncaaf,team://ncaa_football/robert_morris_colonials,/ncaa_football/robert_morris_colonials
Rochester Tigers,Rochester,Tigers,ncaaf,team://ncaa_football/rochester_tigers,/ncaa_football/rochester_tigers
Rockford Regent Lions,Rockford,Regent Lions,ncaaf,team://ncaa_football/rockford_regent_lions,/ncaa_football/rockford_regent_lions
Rocky Mountain Bears,Rocky Mountain,Bears,ncaaf,team://ncaa_football/rocky_mountain_bears,/ncaa_football/rocky_mountain_bears
Rose Hulman Engineers,Rose Hulman,Engineers,ncaaf,team://ncaa_football/rose_hulman_engineers,/ncaa_football/rose_hulman_engineers
Rowan Professors,Rowan,Professors,ncaaf,team://ncaa_football/rowan_professors,/ncaa_football/rowan_professors
RPI,RPI,,ncaaf,team://ncaa_football/rpi,/ncaa_football/rpi
Rutgers Scarlet Knights,Rutgers,Scarlet Knights,ncaaf,team://ncaa_football/rutgers_scarlet_knights,/ncaa_football/rutgers_scarlet_knights
Sacramento St,Sacramento St,,ncaaf,team://ncaa_football/sacramento_st,/ncaa_football/sacramento_st
Sacramento St Hornets,Sacramento St,Hornets,ncaaf,team://ncaa_football/sacramento_st_hornets,/ncaa_football/sacramento_st_hornets
Sacred Heart Pioneers,Sacred Heart,Pioneers,ncaaf,team://ncaa_football/sacred_heart_pioneers,/ncaa_football/sacred_heart_pioneers
Saginaw Valley,Saginaw Valley,,ncaaf,team://ncaa_football/saginaw_valley,/ncaa_football/saginaw_valley
Saginaw Valley Cardinals,Saginaw Valley,Cardinals,ncaaf,team://ncaa_football/saginaw_valley_cardinals,/ncaa_football/saginaw_valley_cardinals
Salisbury St Sea Gulls,Salisbury St,Sea Gulls,ncaaf,team://ncaa_football/salisbury_st_sea_gulls,/ncaa_football/salisbury_st_sea_gulls
Salve Regina Seahawks,Salve Regina,Seahawks,ncaaf,team://ncaa_football/salve_regina_seahawks,/ncaa_football/salve_regina_seahawks
Samford Bulldogs,Samford,Bulldogs,ncaaf,team://ncaa_football/samford_bulldogs,/ncaa_football/samford_bulldogs
Sam Houston St Bearkats,Sam Houston St,Bearkats,ncaaf,team://ncaa_football/sam_houston_st_bearkats,/ncaa_football/sam_houston_st_bearkats
San Diego St Aztecs,San Diego St,Aztecs,ncaaf,team://ncaa_football/san_diego_st_aztecs,/ncaa_football/san_diego_st_aztecs
San Diego Toreros,San Diego,Toreros,ncaaf,team://ncaa_football/san_diego_toreros,/ncaa_football/san_diego_toreros
San Jose St Spartans,San Jose St,Spartans,ncaaf,team://ncaa_football/san_jose_st_spartans,/ncaa_football/san_jose_st_spartans
Savannah St Tigers,Savannah St,Tigers,ncaaf,team://ncaa_football/savannah_st_tigers,/ncaa_football/savannah_st_tigers
S Carolina St Bulldogs,S Carolina St,Bulldogs,ncaaf,team://ncaa_football/s_carolina_st_bulldogs,/ncaa_football/s_carolina_st_bulldogs
SE Louisiana Lions,SE Louisiana,Lions,ncaaf,team://ncaa_football/se_louisiana_lions,/ncaa_football/se_louisiana_lions
SE Missouri Redhawks,SE Missouri,Redhawks,ncaaf,team://ncaa_football/se_missouri_redhawks,/ncaa_football/se_missouri_redhawks
SE Oklahoma St,SE Oklahoma St,,ncaaf,team://ncaa_football/se_oklahoma_st,/ncaa_football/se_oklahoma_st
Seton Hill,Seton Hill,,ncaaf,team://ncaa_football/seton_hill,/ncaa_football/seton_hill
Sewanee,Sewanee,,ncaaf,team://ncaa_football/sewanee,/ncaa_football/sewanee
Shaw Bears,Shaw,Bears,ncaaf,team://ncaa_football/shaw_bears,/ncaa_football/shaw_bears
Shenandoah Hornets,Shenandoah,Hornets,ncaaf,team://ncaa_football/shenandoah_hornets,/ncaa_football/shenandoah_hornets
Shepherd College,Shepherd College,,ncaaf,team://ncaa_football/shepherd_collge,/ncaa_football/shepherd_collge
Shippensburg Red Raiders,Shippensburg,Red Raiders,ncaaf,team://ncaa_football/shippensburg_red_raiders,/ncaa_football/shippensburg_red_raiders
Shorter Hawks,Shorter,Hawks,ncaaf,team://ncaa_football/shorter_hawks,/ncaa_football/shorter_hawks
Simon Fraser,Simon Fraser,,ncaaf,team://ncaa_football/simon_fraser,/ncaa_football/simon_fraser
Simpson Storm,Simpson,Storm,ncaaf,team://ncaa_football/simpson_storm,/ncaa_football/simpson_storm
Sioux Falls Cougars,Sioux Falls,Cougars,ncaaf,team://ncaa_football/sioux_falls_cougars,/ncaa_football/sioux_falls_cougars
Slippery Rock The Rock,Slippery Rock,The Rock,ncaaf,team://ncaa_football/slippery_rock_the_rock,/ncaa_football/slippery_rock_the_rock
SMU Mustangs,SMU,Mustangs,ncaaf,team://ncaa_football/smu_mustangs,/ncaa_football/smu_mustangs
So Dakota St Jackrabbits,So Dakota St,Jackrabbits,ncaaf,team://ncaa_football/so_dakota_st_jackrabbits,/ncaa_football/so_dakota_st_jackrabbits
South Carolina Gamecocks,South Carolina,Gamecocks,ncaaf,team://ncaa_football/south_carolina_gamecocks,/ncaa_football/south_carolina_gamecocks
South Dakota Coyotes,South Dakota,Coyotes,ncaaf,team://ncaa_football/south_dakota_coyotes,/ncaa_football/south_dakota_coyotes
South Dakota Mines,South Dakota,Mines,ncaaf,team://ncaa_football/south_dakota_mines,/ncaa_football/south_dakota_mines
South Dakota Tech,South Dakota Tech,,ncaaf,team://ncaa_football/south_dakota_tech,/ncaa_football/south_dakota_tech
Southern Arkansas Muleriders,Southern Arkansas,Muleriders,ncaaf,team://ncaa_football/southern_arkansas_muleriders,/ncaa_football/southern_arkansas_muleriders
Southern Connecticut Owls,Southern Connecticut,Owls,ncaaf,team://ncaa_football/southern_connecticut_owls,/ncaa_football/southern_connecticut_owls
Southern Illinois Salukis,Southern Illinois,Salukis,ncaaf,team://ncaa_football/southern_illinois_salukis,/ncaa_football/southern_illinois_salukis
Southern Jaguars,Southern,Jaguars,ncaaf,team://ncaa_football/southern_jaguars,/ncaa_football/southern_jaguars
Southern Miss Golden Eagles,Southern Miss,Golden Eagles,ncaaf,team://ncaa_football/southern_miss_golden_eagles,/ncaa_football/southern_miss_golden_eagles
Southern Nazarene Crimson Storm,Southern Nazarene,Crimson Storm,ncaaf,team://ncaa_football/southern_nazarene_crimson_storm,/ncaa_football/southern_nazarene_crimson_storm
Southern Oregon Raiders,Southern Oregon,Raiders,ncaaf,team://ncaa_football/southern_oregon_raiders,/ncaa_football/southern_oregon_raiders
Southern Utah Thunderbirds,Southern Utah,Thunderbirds,ncaaf,team://ncaa_football/southern_utah_thunderbirds,/ncaa_football/southern_utah_thunderbirds
Southern Virginia Knights,Southern Virginia,Knights,ncaaf,team://ncaa_football/southern_virginia_knights,/ncaa_football/southern_virginia_knights
South Florida Bulls,South Florida,Bulls,ncaaf,team://ncaa_football/south_florida_bulls,/ncaa_football/south_florida_bulls
South Tigers,South,Tigers,ncaaf,team://ncaa_football/south_tigers,/ncaa_football/south_tigers
Southwest Baptist Bearcats,Southwest Baptist,Bearcats,ncaaf,team://ncaa_football/southwest_baptist_bearcats,/ncaa_football/southwest_baptist_bearcats
Springfield,Springfield,,ncaaf,team://ncaa_football/springfield,/ncaa_football/springfield
St Ambrose,St Ambrose,,ncaaf,team://ncaa_football/st_ambrose,/ncaa_football/st_ambrose
Stanford Cardinal,Stanford,Cardinal,ncaaf,team://ncaa_football/stanford_cardinal,/ncaa_football/stanford_cardinal
St Anselm,St Anselm,,ncaaf,team://ncaa_football/st_anselm,/ncaa_football/st_anselm
St Augustine Falcons,St Augustine,Falcons,ncaaf,team://ncaa_football/st_augustine_falcons,/ncaa_football/st_augustine_falcons
St Cloud Huskies,St Cloud,Huskies,ncaaf,team://ncaa_football/st_cloud_huskies,/ncaa_football/st_cloud_huskies
Stephen F Austin Lumberjacks,Stephen F Austin,Lumberjacks,ncaaf,team://ncaa_football/stephen_f_austin_lumberjacks,/ncaa_football/stephen_f_austin_lumberjacks
Sterling KS,Sterling KS,,ncaaf,team://ncaa_football/sterling_ks,/ncaa_football/sterling_ks
St Francis IL,St Francis IL,,ncaaf,team://ncaa_football/st_francis_il,/ncaa_football/st_francis_il
St Francis IN Cougars,St Francis IN,Cougars,ncaaf,team://ncaa_football/st_francis_in_cougars,/ncaa_football/st_francis_in_cougars
St Francis PA,St Francis PA,,ncaaf,team://ncaa_football/st_francis_pa,/ncaa_football/st_francis_pa
St Francis PA Red Flash,St Francis PA,Red Flash,ncaaf,team://ncaa_football/st_francis_pa_red_flash,/ncaa_football/st_francis_pa_red_flash
Stillman Tigers,Stillman,Tigers,ncaaf,team://ncaa_football/stillman_tigers,/ncaa_football/stillman_tigers
St John Fisher Cardinals,St John Fisher,Cardinals,ncaaf,team://ncaa_football/st_john_fisher_cardinals,/ncaa_football/st_john_fisher_cardinals
St Johns MN Johnnies,St Johns MN,Johnnies,ncaaf,team://ncaa_football/st_johns_mn_johnnies,/ncaa_football/st_johns_mn_johnnies
St Josephs IN Pumas,St Josephs IN,Pumas,ncaaf,team://ncaa_football/st_josephs_in_pumas,/ncaa_football/st_josephs_in_pumas
St Lawrence,St Lawrence,,ncaaf,team://ncaa_football/st_lawrence,/ncaa_football/st_lawrence
St Mary KS,St Mary KS,,ncaaf,team://ncaa_football/st_mary_ks,/ncaa_football/st_mary_ks
St Norbert Green Knights,St Norbert,Green Knights,ncaaf,team://ncaa_football/st_norbert_green_knights,/ncaa_football/st_norbert_green_knights
St Olaf Oles,St Olaf,Oles,ncaaf,team://ncaa_football/st_olaf_oles,/ncaa_football/st_olaf_oles
Stonehill Skyhawks,Stonehill,Skyhawks,ncaaf,team://ncaa_football/stonehill_skyhawks,/ncaa_football/stonehill_skyhawks
Stony Brook Seawolves,Stony Brook,Seawolves,ncaaf,team://ncaa_football/stony_brook_seawolves,/ncaa_football/stony_brook_seawolves
St Pauls College,St Pauls College,,ncaaf,team://ncaa_football/st_pauls_college,/ncaa_football/st_pauls_college
St Scholastica,St Scholastica,,ncaaf,team://ncaa_football/st_scholastica,/ncaa_football/st_scholastica
St Thomas MN Tommies,St Thomas MN,Tommies,ncaaf,team://ncaa_football/st_thomas_mn_tommies,/ncaa_football/st_thomas_mn_tommies
St Vincent Bearcats,St Vincent,Bearcats,ncaaf,team://ncaa_football/st_vincent_bearcats,/ncaa_football/st_vincent_bearcats
St Xavier IL,St Xavier IL,,ncaaf,team://ncaa_football/st_xavier_il,/ncaa_football/st_xavier_il
Sul Ross St Lobos,Sul Ross St,Lobos,ncaaf,team://ncaa_football/sul_ross_st_lobos,/ncaa_football/sul_ross_st_lobos
Susquehanna Crusaders,Susquehanna,Crusaders,ncaaf,team://ncaa_football/susquehanna_crusaders,/ncaa_football/susquehanna_crusaders
SW Assembly of God Lions,SW Assembly of God,Lions,ncaaf,team://ncaa_football/sw_assembly_of_god_lions,/ncaa_football/sw_assembly_of_god_lions
SW College KS,SW College KS,,ncaaf,team://ncaa_football/sw_college_ks,/ncaa_football/sw_college_ks
SW Minnesota St,SW Minnesota St,,ncaaf,team://ncaa_football/sw_minnesota_st,/ncaa_football/sw_minnesota_st
SW Oklahoma St Bulldogs,SW Oklahoma St,Bulldogs,ncaaf,team://ncaa_football/sw_oklahoma_st_bulldogs,/ncaa_football/sw_oklahoma_st_bulldogs
Syracuse Orange,Syracuse,Orange,ncaaf,team://ncaa_football/syracuse_orange,/ncaa_football/syracuse_orange
Tabor Bluejays,Tabor,Bluejays,ncaaf,team://ncaa_football/tabor_bluejays,/ncaa_football/tabor_bluejays
Tarleton St Texans,Tarleton St,Texans,ncaaf,team://ncaa_football/tarleton_st_texans,/ncaa_football/tarleton_st_texans
Taylor Trojans,Taylor,Trojans,ncaaf,team://ncaa_football/taylor_trojans,/ncaa_football/taylor_trojans
TCU Horned Frogs,TCU,Horned Frogs,ncaaf,team://ncaa_football/tcu_horned_frogs,/ncaa_football/tcu_horned_frogs
Temple Owls,Temple,Owls,ncaaf,team://ncaa_football/temple_owls,/ncaa_football/temple_owls
Tennessee St Tigers,Tennessee St,Tigers,ncaaf,team://ncaa_football/tennessee_st_tigers,/ncaa_football/tennessee_st_tigers
Tennessee Tech Golden Eagles,Tennessee Tech,Golden Eagles,ncaaf,team://ncaa_football/tennessee_tech_golden_eagles,/ncaa_football/tennessee_tech_golden_eagles
Tennessee Volunteers,Tennessee,Volunteers,ncaaf,team://ncaa_football/tennessee_volunteers,/ncaa_football/tennessee_volunteers
Texas A&M Aggies,Texas A&M,Aggies,ncaaf,team://ncaa_football/texas_am_aggies,/ncaa_football/texas_am_aggies
Texas A&M-Commerce Lions,Texas A&M-Commerce,Lions,ncaaf,team://ncaa_football/texas_am_commerce_lions,/ncaa_football/texas_am_commerce_lions
Texas A&M Kingsville Javelinas,Texas A&M Kingsville,Javelinas,ncaaf,team://ncaa_football/texas_am_kingsville_javelinas,/ncaa_football/texas_am_kingsville_javelinas
Texas College Steers,Texas College,Steers,ncaaf,team://ncaa_football/texas_college_steers,/ncaa_football/texas_college_steers
Texas Longhorns,Texas,Longhorns,ncaaf,team://ncaa_football/texas_longhorns,/ncaa_football/texas_longhorns
Texas Lutheran Bulldogs,Texas Lutheran,Bulldogs,ncaaf,team://ncaa_football/texas_lutheran_bulldogs,/ncaa_football/texas_lutheran_bulldogs
Texas Southern Tigers,Texas Southern,Tigers,ncaaf,team://ncaa_football/texas_southern_tigers,/ncaa_football/texas_southern_tigers
Texas State Bobcats,Texas State,Bobcats,ncaaf,team://ncaa_football/texas_state_bobcats,/ncaa_football/texas_state_bobcats
Texas Tech Red Raiders,Texas Tech,Red Raiders,ncaaf,team://ncaa_football/texas_tech_red_raiders,/ncaa_football/texas_tech_red_raiders
The Citadel Bulldogs,The Citadel,Bulldogs,ncaaf,team://ncaa_football/the_citadel_bulldogs,/ncaa_football/the_citadel_bulldogs
Thiel College Tomcats,Thiel College,Tomcats,ncaaf,team://ncaa_football/thiel_college_tomcats,/ncaa_football/thiel_college_tomcats
Thomas More Saints,Thomas More,Saints,ncaaf,team://ncaa_football/thomas_more_saints,/ncaa_football/thomas_more_saints
Tiffin Dragons,Tiffin,Dragons,ncaaf,team://ncaa_football/tiffin_dragons,/ncaa_football/tiffin_dragons
Toledo Rockets,Toledo,Rockets,ncaaf,team://ncaa_football/toledo_rockets,/ncaa_football/toledo_rockets
Towson Tigers,Towson,Tigers,ncaaf,team://ncaa_football/towson_tigers,/ncaa_football/towson_tigers
Trine University,Trine University,,ncaaf,team://ncaa_football/trine_university,/ncaa_football/trine_university
Trinity Bible Lions,Trinity Bible,Lions,ncaaf,team://ncaa_football/trinity_bible_lions,/ncaa_football/trinity_bible_lions
Trinity CT Bantams,Trinity CT,Bantams,ncaaf,team://ncaa_football/trinity_ct_bantams,/ncaa_football/trinity_ct_bantams
Trinity IL Trojans,Trinity IL,Trojans,ncaaf,team://ncaa_football/trinity_il_trojans,/ncaa_football/trinity_il_trojans
Trinity International Warriors,Trinity International,Warriors,ncaaf,team://ncaa_football/trinity_international_warriors,/ncaa_football/trinity_international_warriors
Trinity Texas Tigers,Trinity Texas,Tigers,ncaaf,team://ncaa_football/trinity_texas_tigers,/ncaa_football/trinity_texas_tigers
Troy Trojans,Troy,Trojans,ncaaf,team://ncaa_football/troy_trojans,/ncaa_football/troy_trojans
Truman St Bulldogs,Truman St,Bulldogs,ncaaf,team://ncaa_football/truman_st_bulldogs,/ncaa_football/truman_st_bulldogs
Tufts Jumbos,Tufts,Jumbos,ncaaf,team://ncaa_football/tufts_jumbos,/ncaa_football/tufts_jumbos
Tulane Green Wave,Tulane,Green Wave,ncaaf,team://ncaa_football/tulane_green_wave,/ncaa_football/tulane_green_wave
Tulsa Golden Hurricane,Tulsa,Golden Hurricane,ncaaf,team://ncaa_football/tulsa_golden_hurricane,/ncaa_football/tulsa_golden_hurricane
Tusculum Pioneers,Tusculum,Pioneers,ncaaf,team://ncaa_football/tusculum_pioneers,/ncaa_football/tusculum_pioneers
Tuskegee Golden Tigers,Tuskegee,Golden Tigers,ncaaf,team://ncaa_football/tuskegee_golden_tigers,/ncaa_football/tuskegee_golden_tigers
UAB Blazers,UAB,Blazers,ncaaf,team://ncaa_football/uab_blazers,/ncaa_football/uab_blazers
UC Davis Aggies,UC Davis,Aggies,ncaaf,team://ncaa_football/uc_davis_aggies,/ncaa_football/uc_davis_aggies
